t,x,y,yaw,speed,target_y,steering,left_wheel,right_wheel
6.450,2.1171,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
6.550,2.1142,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
6.650,2.1113,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
6.750,2.1083,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
6.850,2.1054,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
6.950,2.1025,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
7.050,2.0996,0.0000,0.0004,0.0292,0.00,0.0000,0.0000,0.0000
7.150,2.0966,0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
7.250,2.0937,0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
7.350,2.0908,0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
7.450,2.0879,0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
7.550,2.0850,0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
7.650,2.0820,0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
7.750,2.0791,0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
7.850,2.0762,0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
7.950,2.0733,0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
8.050,2.0703,-0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
8.150,2.0674,-0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
8.250,2.0645,-0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
8.350,2.0616,-0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
8.450,2.0586,-0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
8.500,2.0572,-0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
8.600,2.0543,-0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
8.700,2.0513,-0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
8.800,2.0484,-0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
8.900,2.0455,-0.0000,0.0005,0.0292,0.00,0.0000,0.0000,0.0000
9.000,2.0426,-0.0000,0.0006,0.0292,0.00,0.0000,0.0000,0.0000
9.100,2.0396,-0.0000,0.0006,0.0292,0.00,0.0000,0.0000,0.0000
9.200,2.0367,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
9.300,2.0338,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
9.400,2.0309,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
9.500,2.0279,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
9.600,2.0250,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
9.700,2.0221,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
9.800,2.0192,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
9.900,2.0162,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
10.000,2.0133,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
10.100,2.0104,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
10.200,2.0075,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
10.300,2.0045,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
10.400,2.0016,-0.0000,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
10.500,1.9987,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
10.600,1.9957,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
10.700,1.9928,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
10.800,1.9899,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
10.900,1.9870,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
11.000,1.9840,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
11.100,1.9811,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
11.200,1.9782,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
11.300,1.9752,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
11.400,1.9723,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
11.500,1.9694,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
11.600,1.9665,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
11.700,1.9635,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
11.800,1.9606,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
11.900,1.9577,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
12.000,1.9548,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
12.100,1.9518,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
12.200,1.9489,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
12.300,1.9460,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
12.400,1.9430,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
12.500,1.9401,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
12.600,1.9372,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
12.700,1.9343,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
12.800,1.9313,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
12.900,1.9284,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
13.000,1.9255,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
13.100,1.9226,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
13.200,1.9196,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
13.300,1.9167,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
13.400,1.9138,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
13.500,1.9108,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
13.600,1.9079,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
13.700,1.9050,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
13.800,1.9021,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
13.900,1.8991,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
14.000,1.8962,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
14.100,1.8933,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
14.200,1.8904,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
14.300,1.8874,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
14.400,1.8845,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
14.500,1.8816,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
14.600,1.8786,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
14.700,1.8757,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
14.800,1.8728,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
14.900,1.8699,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
15.000,1.8669,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
15.100,1.8640,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
15.200,1.8611,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
15.300,1.8582,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
15.400,1.8552,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
15.500,1.8523,-0.0001,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
15.600,1.8494,-0.0002,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
15.700,1.8464,-0.0002,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
15.800,1.8435,-0.0002,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
15.900,1.8406,-0.0002,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
16.000,1.8377,-0.0002,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
16.100,1.8347,-0.0002,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
16.200,1.8318,-0.0002,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
16.300,1.8289,-0.0002,0.0006,0.0293,0.00,0.0000,0.0000,0.0000
16.400,1.8260,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
16.500,1.8230,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
16.600,1.8201,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
16.700,1.8172,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
16.800,1.8142,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
16.900,1.8113,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
17.000,1.8084,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
17.100,1.8055,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
17.200,1.8025,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
17.300,1.7996,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
17.400,1.7967,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
17.500,1.7938,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
17.600,1.7908,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
17.700,1.7879,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
17.800,1.7850,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
17.900,1.7820,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
18.000,1.7791,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
18.100,1.7762,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
18.200,1.7733,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
18.300,1.7703,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
18.400,1.7674,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
18.500,1.7645,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
18.600,1.7616,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
18.700,1.7586,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
18.800,1.7557,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
18.900,1.7528,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
19.000,1.7498,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
19.100,1.7469,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
19.200,1.7440,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
19.300,1.7411,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
19.400,1.7381,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
19.500,1.7352,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
19.600,1.7323,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
19.700,1.7294,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
19.800,1.7264,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
19.900,1.7235,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
20.000,1.7206,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
20.100,1.7176,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
20.200,1.7147,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
20.300,1.7118,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
20.400,1.7089,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
20.500,1.7059,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
20.600,1.7030,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
20.700,1.7001,-0.0002,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
20.800,1.6972,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
20.900,1.6942,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
21.000,1.6913,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
21.100,1.6884,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
21.200,1.6855,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
21.300,1.6825,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
21.400,1.6796,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
21.500,1.6767,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
21.600,1.6737,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
21.700,1.6708,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
21.800,1.6679,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
21.900,1.6650,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
22.000,1.6620,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
22.100,1.6591,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
22.200,1.6562,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
22.300,1.6533,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
22.400,1.6503,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
22.500,1.6474,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
22.600,1.6445,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
22.700,1.6416,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
22.800,1.6386,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
22.900,1.6357,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
23.000,1.6328,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
23.100,1.6298,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
23.200,1.6269,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
23.300,1.6240,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
23.400,1.6211,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
23.500,1.6181,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
23.600,1.6152,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
23.700,1.6123,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
23.800,1.6094,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
23.900,1.6064,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
24.000,1.6035,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
24.100,1.6006,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
24.200,1.5976,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
24.300,1.5947,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
24.400,1.5918,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
24.500,1.5889,-0.0003,0.0007,0.0293,0.00,0.0000,0.0000,0.0000
24.600,1.5859,-0.0003,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
24.700,1.5830,-0.0003,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
24.800,1.5801,-0.0003,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
24.900,1.5772,-0.0003,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
25.000,1.5742,-0.0003,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
25.100,1.5713,-0.0003,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
25.200,1.5684,-0.0003,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
25.300,1.5655,-0.0003,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
25.400,1.5625,-0.0003,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
25.500,1.5596,-0.0003,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
25.600,1.5567,-0.0003,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
25.700,1.5537,-0.0003,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
25.800,1.5508,-0.0003,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
25.900,1.5479,-0.0003,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
26.000,1.5450,-0.0003,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
26.100,1.5420,-0.0003,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
26.200,1.5391,-0.0004,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
26.300,1.5362,-0.0004,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
26.400,1.5333,-0.0004,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
26.500,1.5303,-0.0004,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
26.600,1.5274,-0.0004,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
26.700,1.5245,-0.0004,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
26.800,1.5216,-0.0004,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
26.900,1.5186,-0.0004,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
27.000,1.5157,-0.0004,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
27.100,1.5128,-0.0004,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
27.200,1.5098,-0.0004,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
27.300,1.5069,-0.0004,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
27.400,1.5040,-0.0004,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
27.500,1.5011,-0.0004,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
27.600,1.4981,-0.0004,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
27.700,1.4952,-0.0004,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
27.800,1.4923,-0.0004,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
27.900,1.4894,-0.0004,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
28.000,1.4864,-0.0004,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
28.100,1.4835,-0.0004,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
28.200,1.4806,-0.0004,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
28.300,1.4777,-0.0004,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
28.400,1.4747,-0.0004,0.0008,0.0293,0.00,0.0000,0.0000,0.0000
28.500,1.4718,-0.0004,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
28.600,1.4689,-0.0004,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
28.700,1.4659,-0.0004,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
28.800,1.4630,-0.0004,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
28.900,1.4601,-0.0004,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
29.000,1.4572,-0.0004,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
29.100,1.4542,-0.0004,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
29.200,1.4513,-0.0004,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
29.300,1.4484,-0.0004,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
29.400,1.4455,-0.0004,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
29.500,1.4425,-0.0004,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
29.600,1.4396,-0.0004,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
29.700,1.4367,-0.0004,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
29.800,1.4338,-0.0004,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
29.900,1.4308,-0.0004,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
30.000,1.4279,-0.0004,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
30.100,1.4250,-0.0004,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
30.200,1.4221,-0.0004,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
30.300,1.4191,-0.0004,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
30.400,1.4162,-0.0004,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
30.500,1.4133,-0.0004,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
30.600,1.4103,-0.0005,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
30.700,1.4074,-0.0005,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
30.800,1.4045,-0.0005,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
30.900,1.4016,-0.0005,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
31.000,1.3986,-0.0005,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
31.100,1.3957,-0.0005,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
31.200,1.3928,-0.0005,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
31.300,1.3899,-0.0005,0.0009,0.0293,0.00,0.0000,0.0000,0.0000
31.400,1.3869,-0.0005,0.0010,0.0293,0.00,0.0000,0.0000,0.0000
31.500,1.3840,-0.0005,0.0010,0.0293,0.00,0.0000,0.0000,0.0000
31.600,1.3811,-0.0005,0.0010,0.0293,0.00,0.0000,0.0000,0.0000
31.700,1.3782,-0.0005,0.0010,0.0293,0.00,0.0000,0.0000,0.0000
